LV60472|Selecline 12 couverts|Lave-vaisselle|électroménager|Lave-vaisselle 12 couverts
DFS2536S|Beko 10 couverts|Lave-vaisselle|électroménager|Lave-vaisselle 10 couverts
53E22FR|Bosch SGS|Lave-vaisselle|électroménager|Lave-vaisselle 12 couverts
335NB|Whirlpool FT Noir|Micro-ondes|électroménager|Micro-ondes multifonction
12470TD|LG lave linge|Lave-linge|électroménager|Lave-linge 8 kgs 1200 trs/mn
75221SX|BEKO HIG|Table-cuisson|électroménager|Table de cuisson gaz
D4865RG|Ordinateur LG 1ghz|ordinateur|informatique|Ordinateur LG double coeur 1Ghz 4go Ram
|HP G5215FR|ordinateur|informatique|Athlon II X4 635 2,9 GHz, 4096 Mo, 1 To, DVD±RW Azerty français, Windows® 7 Edition Familiale Premium français
|ACER Aspire AZ3101-035|ordinateur|informatique|Ordinateur de bureau Athlon II x2 220 4096.Mo (2048x2) 640.Go 21.5.pouces Tactile nVidia GeForce 9200 Windows 7 Premium Tuner TNT
|PACKARD BELL IMEDIA D4007FR + 21,5"|ordinateur|informatique|Processeur Intel Pentium E5800 à 3,2 Ghz
|LED XPS L501x Aluminium Intel Core 501X9426|ordinateur|informatique|DELL: 15.6 LED XPS L501x Aluminium Intel Core i5-460M 4GB/640GB Nvidia GTX420M 1GB
|PNY Attaché Original 4 Go|stockage|informatique|Clé USB 2.0 4 Go - Vitesse d'écriture jusqu'à 6 Mo/s - Vitesse de lecture jusqu'à 14 Mo/s - Dimensions compactes : 54 x 11 x 17 mm - Plug and play - Stockage des données garanti pendant 10 ans - Compatible PC, Mac et Linux - Garantie 2 ans.
|Toshiba storE Alu2 500 Go|stockage|informatique|Couleur Marron - Disque dur externe portable 500 Go - Format 2.5" - Interface USB 2.0 - Autoalimenté - Fonctionnement silencieux - vitesse de rotation 5400 tpm - Boîtier ultra résistant - Compatible Windows - Garantie 2 ans.
|EMTEC Movie Cube K230 1000 Go|stockage|informatique|Disque dur multimedia - Sortie HDMI, péritel - Lecteur de cartes - Sortie optique - Sortie Composite A/V et Composante Y/Pb/Pr - Gestion des sous-titres - Garantie 1 an.
|Peekton MiniPeek 259 Black 320 Go|stockage|informatique|Mini boîtier multimédia - Capacité 320 GO - Port HDMI - Port USB Host - SD Card - Télécommande incluse - Couleur Noir aluminium - Garantie 1 an.
|Intel Sandybridge Core i5 2500K|composants |informatique|Processeur Socket LGA 1155 - Fréquence 3.3 Ghz - 6 Mo de cache L3 - 95W - 32nm - Intel Turbo Boost - Version boîte avec ventilateur - ref BX80623I52500K - Garantie 3 ans.
|Gigabyte GA-M68M-S2P|composants |informatique|Gigabyte GA-M68M-S2P - Carte mère socket AM3 - Chipset NVIDIA GeForce 7025 / nForce 630a - 2 slots DDR2 - PCI Express 16x - SATA 3Gb/s - Gigabit LAN - USB / Audio HD - Format Micro-ATX - Garantie 3 ans.
|MSI GeForce GTX 560 Ti 1Go OC|composants |informatique|MSI GeForce GTX 560 Ti 1Go Twin Frozr II OC - Carte graphique NVIDIA GeForce GTX 560 Ti version OverClockée - GPU cadencé à 880 MHz - Mémoire 1024 Mo GDDR5 - PCI Express 2.0 - Dual-link DVI-I / Mini HDMI - Compatible HDCP / SLI - Refroidissement Twin Frozr II - Réf. N560GTX-TI TWIN FROZR II/OC - Garantie 2 ans.
|Xigmatek ASGARD|composants |informatique|Boitier PC Moyen Tour - Pour cartes mères ATX / Micro ATX - 7 slots d'extension - USB 2.0 x 2 / Audio E/S - Structure en acier - Garantie 1 an.
|HP Photosmart WiFi eAiO 2011|imprimantes|informatique|Imprimante multifonctions jet d'encre A4 (3 en 1) WiFi - Imprimante et copie 4800 x 1200 ppp, 32 ppm en noir et 30 ppm en couleur - Scanner 1 200 x 2 400 ppp - Ecran couleur LCD 6.1 cm TouchSmart - Lecteur de carte mémoire - Bac d'alimentation 80 feuilles - Impression sans marge - WiFi 802.11 b/g/n - Compatible PC et Mac 
